#Title,number,of,seasonnumber:episodes,in,each,season,separated,by,commas
Community,1:25,2:24,3:22,4:13,5:13,6:13
30 Rock,1:21,2:15,3:22,4:22,5:23,6:22,7:13
Game of Thrones,1:10,2:10,3:10,4:10,5:10,6:10,7:7,8:6
The Walking Dead,1:6,2:13,3:16,4:16,5:16,6:16,7:8
Itâ€™s Always Sunny,1:7,2:10,3:15,4:13,5:12,6:13,7:13,8:10,9:10,10:10,11:10
Arrested Development,1:22,2:18,3:13,4:15,5:16
That 70s Show,1:25,2:26,3:25,4:27,5:25,6:25,7:25,8:22
South Park,1:13,2:18,3:17,4:17,5:14,6:17,7:15,8:14,9:14,10:14,11:14,12:14,13:14,14:14,15:14,16:14,17:10,18:10,19:10,20:10,21:10,22:10,23:10
Louie,1:13,2:13,3:13,4:14,5:8
Rick and Morty,1:11,2:10,3:10,4:10,5:10
House,1:22,2:24,3:24,4:16,5:24,6:21,7:23,8:22
Eureka,1:12,2:13,3:18,4:20,5:13
Scrubs,1:24,2:22,3:22,4:25,5:24,6:22,7:11,8:19,9:13
Kim's Convenience,1:13,2:13,3:13,4:13,5:13
Sherlock,1:3,2:3,3:3,4:3